day,xt
1,0.7303658586200019
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.2574168617832059
8,0.0
9,0.4554288630716937
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.41287445275942436
22,0.8091957586052353
23,0.44913739069387437
24,1.4113518041748199
25,1.6166255879182856
26,1.4176954806091298
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.8153240377895412
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.01220548587386383
55,0.0
56,0.0
57,0.669484715949834
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.169538059447913
65,1.2067395971971016
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.36125949368569343
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.17434269652136924
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.17496527505154846
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.7238775625480992
162,0.0
163,0.0
164,0.0
165,1.5658339258865732
166,2.676645977151235
167,0.9689877324027765
168,1.2356228621436054
169,1.6103080387325124
170,0.2722969649225542
171,0.17995385330115476
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.28424394617277093
183,2.101076924423504
184,3.8894173996511174
185,2.8091752443216707
186,2.733002165176099
187,2.592809241324888
188,0.02106032764234067
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,2.151355759014523
200,2.1687745493202293
201,2.7906853640621705
202,1.7069490276515997
203,1.0194250366923305
204,0.4876235976918123
205,1.441718547705259
206,0.5344760739394403
207,0.0
208,0.0
209,0.9205220608286961
210,0.0
211,0.0
212,0.2702872305278866
213,0.0
214,0.4789412888504163
215,0.49468479983455443
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.73616941531086
223,3.0694537818989502
224,2.7493505196491244
225,2.844415818140194
226,2.467585245240718
227,1.9226802117975628
228,1.3346170319122959
229,1.5154485772052055
230,2.8333472588056763
231,3.1211801505358894
232,3.0952376152515333
233,3.6941216829204793
234,3.540662162033573
235,3.6211351568381285
236,4.828223130967805
237,6.209881725688183
238,5.836090324105659
239,6.869334224344149
240,6.727035095134278
241,5.491227568074064
242,6.713622859581706
243,6.607670875564225
244,7.554323423839166
245,6.1758615671685515
246,6.395485316618213
247,5.909708279910867
248,7.618979527147324
249,7.6338786556650025
250,8.780188819689464
251,9.450479779837162
252,9.244735269116568
253,10.527799040053273
254,10.7694092409822
255,11.612070918312565
256,12.232587934790544
257,12.995536769667845
258,13.796390951596202
259,14.849555238449614
260,15.718556913161342
261,16.19450128106364
262,17.104708283230533
263,17.643883214829387
264,18.417795468683362
265,15.450538641073623
266,14.436439493867885
267,15.621792161786246
268,16.114882967333056
269,14.843840352830311
270,15.220936499412952
271,15.794851692187162
272,17.394289698052006
273,17.85261822648501
274,19.549113603339627
275,20.501892157149392
276,20.55029632191778
277,20.02427683683072
278,20.36252132632176
279,21.267986633393036
280,22.82071995760431
281,23.399141486991525
282,23.778566694867298
283,22.31256876506392
284,23.56771221772565
285,24.997894904071728
286,25.04389477707842
287,26.141341388985186
288,26.19760372886169
289,26.398810711581785
290,26.8203883883698
291,26.30811605346021
292,28.500439916343705
293,27.911550905770707
294,27.214795118660348
295,28.32128677347425
296,28.858616781317437
297,28.980905005301366
298,28.848181017631386
299,28.980753017028672
300,28.442719297228702
301,30.713322497193058
302,30.006250875100964
