day,ct
1,-0.060871014568232296
2,-1.105846351298584
3,1.1823922989410256
4,-1.1462060892184653
5,-1.6304508798241533
6,-0.5385395941040361
7,1.1571202339785258
8,-1.4162210066033838
9,-0.9312317576675022
10,-0.5108990856821272
11,-2.1081223135933076
12,-2.176558931865064
13,0.30734515397304274
14,-0.7591134652334526
15,-1.9116508220975155
16,-1.1816135172953073
17,-1.4438474403840176
18,-0.8930709271917187
19,-0.7208069189600707
20,-3.082022037859451
21,0.38415730545429594
22,-0.8921202513765596
23,-1.6202841974052817
24,-0.1134525352222977
25,-2.048017965341623
26,-1.343442896433886
27,-2.261201993670375
28,-0.31562454503579607
29,0.11832427632531117
30,-0.7062451150506335
31,-1.2943417803865798
32,-2.3957843507915357
33,-1.5920807349604051
34,-0.9174090771457819
35,-1.7380002195109778
36,-1.6325775304862047
37,-2.3138014534843983
38,-1.9487720305889829
39,-2.6856139424232612
40,-0.9559018913222557
41,-1.1959478681364988
42,-1.1643134006218943
43,-1.6322981998503683
44,-1.8750260147362479
45,-1.5947409657507738
46,-1.7353908107815683
47,-1.1679471389493383
48,0.5000088394137014
49,-1.5337834285650902
50,-1.9479140155287955
51,-1.616437044226424
52,-1.8703954720020246
53,-1.8850801626999858
54,-1.983672839238141
55,-0.7245663349607874
56,-0.7474640596846965
57,-0.5269709278809196
58,-0.32477573753768163
59,-1.8127238987821432
60,-3.024854091274195
61,0.503652161336926
62,-3.7319350063390937
63,-1.8243353889072096
64,-2.917200310337998
65,-1.095568971347312
66,-2.462720268172482
67,-0.3814304809837801
68,-1.2874989704702047
69,-0.015203351600963755
70,-1.4314102365314094
71,-0.3798086912497898
72,-2.6305202866514223
73,-0.5653737539169498
74,-1.6907290434976305
75,-1.3228042316664042
76,-0.6378612480392423
77,-1.1832158102967147
78,-2.364502073232514
79,-2.0671995536691816
80,-2.6389310839847426
81,-0.8692155206416666
82,-1.9331849462738449
83,-2.038926916123649
84,-1.389994211800114
85,-1.8315155665242848
86,-0.4274701046795366
87,-0.8127876551028873
88,-0.8761641761142538
89,-2.0152143771455346
90,-0.8907504948867064
91,-1.0974686985104283
92,-2.8171040003158465
93,-1.846746207396176
94,-1.7713170065908603
95,-0.10364857199217625
96,-2.017763823712626
97,-1.1140778658088195
98,-0.29375977993728686
99,-2.5152212796823736
100,-1.310907524374179
101,0.44479600511549133
102,-3.153498214631881
103,-2.1883256286094204
104,-1.3050592521833608
105,-1.2098368477113404
106,-1.4126597230628424
107,-1.0199699443231305
108,-0.3000558562030693
109,-1.5018099498512791
110,-1.6250615005807896
111,-0.9506657303113643
112,0.45044735311016404
113,-0.9334488914977752
114,-0.4882406450730379
115,-3.093627592695344
