day,xt
1,0.0
2,0.0
3,1.1823922989410256
4,0.03618620972256026
5,0.0
6,0.0
7,1.1571202339785258
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.30734515397304274
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.38415730545429594
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.11832427632531117
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.5000088394137014
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.503652161336926
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.44479600511549133
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.45044735311016404
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.2621023357436314
122,0.0
123,0.0
124,0.0
125,0.5560000687549378
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.327218300975177
134,0.31086439294569
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.23591250092846217
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.20766284611704378
157,0.0
158,0.0
159,0.0
160,0.0709235064142002
161,0.0
162,0.0
163,0.29980975767553764
164,0.5605730077230335
165,0.0
166,0.0
167,0.0
168,0.3268589847297221
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.7533744865969106
182,0.5762553845661631
183,1.1093309680156387
184,0.0
185,0.8720560931397991
186,0.0
187,0.0
188,1.4298208908729746
189,1.1056241181361006
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.27680974064303554
196,1.619919315134576
197,0.006920711530469692
198,0.2604061711468525
199,0.0
200,0.12539227173004508
201,0.0
202,0.0
203,2.290119799241945
204,4.193718405018862
205,3.2574161811080438
206,4.9471274619163
207,4.710921059006032
208,3.159072114542789
209,3.6430482214202806
210,4.442266293789037
211,5.059948082267784
212,3.250494039030672
213,2.002729327677992
214,2.8500195240714583
