parameter,true_value,estimated_value,lower_ci,upper_ci,std_error
b0,-0.04,-0.06715114958423686,-0.146681134869121,0.012378835700647281,0.0405772687213676
b1,-0.02,-0.02116735783481329,-0.026550652276379302,-0.015784063393247276,0.0027466292666746706
sigma,1.0,1.0214723112392134,0.9638880779990531,1.0790565444793738,0.029380250705817807
