b0_est,b1_est,sigma_est,converged
-3.1236876532073263,-0.31473960067633205,1.403653632767466,True
-2.9907569677595345,-0.2927999712472239,1.431131305953337,True
-3.0082820622228903,-0.30282914132609073,1.3765457445011138,True
-3.0073899366050068,-0.30539184830057103,1.4122880916769684,True
-3.0001822149656094,-0.3028862191555616,1.3839318148588104,True
-2.9859951351649467,-0.29787367866400977,1.3741357818996696,True
-2.995332869685133,-0.2942041417197212,1.3376620253744327,True
-2.9001480029640256,-0.2922289981591601,1.375646202945567,True
-3.0104588433388138,-0.2977697106571735,1.4438565859655963,True
-2.874978278801887,-0.28762469741973967,1.4011476049987734,True
-2.9646311113166948,-0.292866929170101,1.3527934261693697,True
-2.927530748861372,-0.2970657956323112,1.4026350889336623,True
-3.040043037751158,-0.29527488151403714,1.3645286015373712,True
-3.013365854071619,-0.3031593299373007,1.4010010067986476,True
-3.0008049646790558,-0.3022679067094393,1.4368067643267466,True
-3.0903021955108176,-0.30248447914021087,1.4314617926468478,True
-2.9492556761757096,-0.2990994575350556,1.4130285191747247,True
-2.980705487185199,-0.30395258515433926,1.4009060785407632,True
-3.0590880531226468,-0.30216177491423796,1.353752315916197,True
-2.9508586579715694,-0.28768555587071115,1.3896826854356554,True
-3.000858035658073,-0.2991892315886465,1.4070633460163589,True
-3.0888766363282443,-0.30485912097717105,1.4452111831573378,True
-3.033498278273462,-0.30765691035667564,1.4251751654583311,True
-3.0837123176908263,-0.3121225054548573,1.3803174092723478,True
-2.994857875627916,-0.3021844384397129,1.3778573159979843,True
-3.080602563648924,-0.3075313346805128,1.4045445418552298,True
-3.128529983247636,-0.306810880479568,1.4386721040016865,True
-2.905441358143785,-0.2925871020965835,1.3616037789934174,True
-3.027784860872265,-0.2980441201071347,1.415561671702059,True
-3.0194930383476057,-0.30810260502534564,1.3926532373422102,True
-2.9487928648802515,-0.29378614045819534,1.3368746285914224,True
-3.0616269861516767,-0.30406878317713004,1.4262785890456704,True
-2.9047840469170607,-0.28901484638800146,1.3942506281170182,True
-2.9172212078883337,-0.28935397712550487,1.3774398162718857,True
-2.882644543910565,-0.2897952635173896,1.4120927244653536,True
-2.94027827455729,-0.2995787784089743,1.3675283880141664,True
-2.974044941046235,-0.29918250644134786,1.4197167653135188,True
-2.872084726840432,-0.2890631909930684,1.3890732159545782,True
-2.9715276191461726,-0.2939909524059389,1.3930908350788949,True
-2.9985113935444523,-0.29986616475426775,1.3468040146438434,True
-2.930578268497345,-0.29686954478702665,1.3727201029060083,True
-3.050316161959522,-0.30129525680543046,1.4483816711024264,True
-3.0008942029399885,-0.3008933355373217,1.383036588817902,True
-2.978200547511731,-0.2993631717529057,1.361277478461505,True
-2.938352746691481,-0.2926579879878546,1.3820910212752164,True
-3.0021568497846984,-0.30195583776496626,1.391705795877348,True
-3.067450339667377,-0.3032111767233746,1.3831659686174693,True
-2.980728459322412,-0.2986940648152914,1.4183442084300186,True
-2.9078724194474375,-0.29357254310561665,1.370272822995772,True
-2.9473936849745765,-0.2954520515000922,1.3799012408806077,True
-3.1438187382445286,-0.3104720222778937,1.4374980266820188,True
-3.029466657318993,-0.2980693286214918,1.395022568333221,True
-3.012200672553471,-0.3042520259886205,1.3956268437083132,True
-3.0064709594073737,-0.3021796712257027,1.4211959669932805,True
-2.9924536712723775,-0.3048764679988343,1.3518172625554203,True
-2.99095349191807,-0.2947685504913725,1.417672590114908,True
-2.9929958243201797,-0.3011947648453182,1.4239681880294177,True
-2.981101736940613,-0.3040412890765932,1.3782979988937167,True
-2.99986292199688,-0.3045015266937104,1.415585659529244,True
-3.102996791902311,-0.3100824502705037,1.3760656708484487,True
-2.9884267602193892,-0.2981002405693931,1.4486823408688183,True
-3.0277972908338215,-0.3038701276918066,1.3950303904988237,True
-3.0456981173556343,-0.3011595176327446,1.4425557855010671,True
-3.0016980322554203,-0.3035391776381364,1.3697544898423974,True
-2.935155969817178,-0.29412349151838063,1.4039673421506758,True
-2.954479872507318,-0.2934598591339235,1.3455224366044942,True
-2.9849772679847413,-0.29337708989055744,1.3942720509985442,True
-3.079264833112747,-0.3031725762740339,1.4165779966947587,True
-3.0279863247711556,-0.30416952067513914,1.43159385323379,True
-3.01015953376074,-0.3053689961892649,1.3809579094525095,True
-3.0243132389571628,-0.305021723914561,1.4101325956485815,True
-2.979579047275306,-0.2978875831045052,1.3759760703301551,True
-2.9964215360839077,-0.29467367702607256,1.3974942067238016,True
-3.092650027842362,-0.3075375000177841,1.423055641513494,True
-3.04159115418831,-0.3011530264108573,1.4077370914976406,True
-2.9038656999909387,-0.29617022877644567,1.458730987384431,True
-3.0346041928023246,-0.3012354551515614,1.3728655157548824,True
-3.015111163509533,-0.30243038005375783,1.3843866009066623,True
-2.9428906902254592,-0.2929197222715581,1.410389998907607,True
-3.0011928858926185,-0.29506461928074507,1.412598400248078,True
-2.9899290818280253,-0.30158570794682166,1.4104513387810034,True
-2.9427619276124237,-0.2970245031014523,1.413139608087972,True
