parameter,true_value,estimated_value,lower_ci,upper_ci,std_error
b0,-3.0,-3.025625749657156,-3.071644149583935,-2.979607349730377,0.023479206908783183
b1,-0.3,-0.30230766275873616,-0.30644849345093156,-0.29816683206654077,0.0021127075420047255
sigma,1.4,1.407452565679968,1.3903924677038033,1.4245126636561325,0.008704291563892205
