,alpha0,alpha1,tau1,sigma,alpha2
alpha0,23353.204596787687,7821.117833373136,13.387762010097502,10746.007319539784,408806863.50647
alpha1,7821.117833373136,11293.66864915937,2.328306436538696,-3864.5521271973844,146799710.2099616
tau1,13.387762010097502,2.328306436538696,3.4197000786662097,-22.11891114711761,170287.41240210363
sigma,10746.007319539784,-3864.5521271973844,-22.11891114711761,45848.71931001543,202840325.2825228
alpha2,408806863.50647,146799710.2099616,170287.41240210363,202840325.2825228,9729192816469.656
