,alpha0,alpha1,tau1,sigma,alpha2
alpha0,0.00018121575774614326,-4.650888400565477e-05,-0.00046685971891432913,-1.770543802744145e-05,-6.535370292800706e-09
alpha1,-4.650888400565478e-05,0.00013819256605901518,0.0002873316959852567,2.5655183543888066e-05,-6.707969021113619e-10
tau1,-0.00046685971891433195,0.00028733169598525813,0.29546585331499,0.00025497432640635,4.7940314927262145e-09
sigma,-1.7705438027441444e-05,2.565518354388807e-05,0.00025497432640635067,2.9398729039660603e-05,-2.605288691471935e-10
alpha2,-6.535370292800706e-09,-6.70796902111362e-10,4.794031492726214e-09,-2.605288691471932e-10,3.9285956106945253e-13
