parameter,true_value,estimated_value,lower_ci,upper_ci,std_error
b0,0.2,0.25799313117753614,0.08112908082558515,0.43485718152948716,0.09023841853576497
b1,-0.1,-0.10218372082646796,-0.11424288654618578,-0.09012455510675013,0.006152748629484512
sigma,1.5,1.5679834892256872,1.4411240932341856,1.6948428852171888,0.06472537097219759
