day,ct
1,-0.5116878779588498
2,1.0468523771851634
3,0.5974870533672949
4,-2.445487261761452
5,-0.6007663923231972
6,0.23868333595640212
7,-0.6792050795087162
8,-0.6891660482663007
9,-1.3310178811775324
10,-0.5280696055896353
11,-0.24024065399026995
12,-0.49580671287570927
13,-0.07959067255873153
14,-0.6115759833389941
15,-3.31909248588528
16,1.8044889149926155
17,-0.3799224240770859
18,0.10054626180214954
19,-3.018846149697237
20,-0.2631506627341321
21,-1.0387297102793775
22,-1.615207229349645
23,0.2778737754859779
24,-2.3268528535418724
25,-1.6263433093086803
26,-1.4917074921613644
27,0.20265389615663776
28,-3.563539553753164
29,-0.3724408698092784
30,-1.3907787547407908
31,-1.6607906296932784
32,-1.6006109112719733
33,-2.080309665957206
34,-1.2182052167063566
35,-3.3141369332913393
36,-2.6415887466773436
37,-1.8686759095063923
38,-1.4636045452868687
39,-1.355111508821792
40,-2.097480650311791
41,-1.781693128072602
42,-2.169329760483321
43,-1.4858932923194308
44,0.15808591802463345
45,-3.678955599106959
46,-2.7027224698617105
47,-1.8443369299654857
48,-4.0534794669909635
49,-2.945429229438963
50,-2.655764873595949
51,-1.795626480036723
52,-2.147428233900605
53,-2.27700623491179
54,-1.2734529414867655
55,-2.5530280620301986
56,-0.8100618287657537
57,-0.2278696646022944
58,0.32907634380566075
59,-1.1456366323637177
60,-0.9629337414391096
61,-0.192841489307513
62,-0.35219224621257883
63,-0.7006707825389086
64,0.22589497103723133
65,-0.906759687192614
66,-3.3440361343580447
67,-2.404875790646271
68,-1.7914423377151691
69,-1.421109317100758
70,-2.009082238030491
71,0.6592581571752656
72,-2.655070663315655
73,-2.7540241988969214
74,-2.0902017102194836
75,-1.5297673772972245
76,-1.0932221388108392
77,-2.8531123175595825
78,0.3011065859408246
79,-1.961097932608522
80,-3.167676751134095
81,-1.641801020634328
82,-2.3169797025858143
83,-2.1971125610457203
84,-3.4476907681166926
85,-1.420772793720752
86,-2.0864865518362907
87,-1.1603561148430106
88,-1.9667980455549905
89,-1.7636614121444643
90,-2.613369273608484
91,-2.21855323680587
92,-1.4110564437904523
93,-2.758518625360452
94,-1.3636455032072123
95,-0.07164045221438409
96,-1.6432471101064345
97,-2.1145209661670905
98,-0.7441346933215274
99,-0.9267998731982018
100,-0.3106085497097637
101,-1.774515398546178
102,-1.2282355951552564
103,-0.9832858431457626
104,-2.4427351371708768
105,-1.6867346200265152
106,-2.6803457367241736
107,-0.8847078085065315
108,-1.9721246273859812
109,-0.6864203077157423
110,0.06897932811363927
