day,ct
1,0.18850394564378503
2,0.7159144707697386
3,-1.2479010787656697
4,-0.9173215406978984
5,-2.1992288578539476
6,1.359085204345096
7,-2.0759231747252547
8,0.5937102294986749
9,-1.635338263407792
10,-0.5746430493786499
11,-2.24012415638378
12,-2.6857349792734833
13,-2.3512048901780798
14,-0.7095518387507079
15,-2.1251797882491004
16,0.5116000361049563
17,-0.18897329282152564
18,-1.4258599344487866
19,-0.597890304748363
20,-0.8978821109229461
21,0.1627409427161144
22,-1.6569179557473355
23,-1.6337758142009793
24,-1.0243499851155928
25,-2.0726980159020423
26,0.36930880818721956
27,-0.11797678971857772
28,-1.6482208681205877
29,-1.6915032240963688
30,-2.238375993754255
31,-0.1128073502413609
32,-0.38496697615776587
33,-2.6958918223836834
34,-1.5110058315735277
35,-0.3306331204862447
36,-1.0489922932772608
37,-0.8730843842318061
38,-1.6170044007556847
39,-3.1156860554269574
40,-0.4000959259748481
41,-1.0211578983674154
42,-0.7985215871004274
43,0.02536587395473311
44,-0.7703857963244233
45,-1.772653640333757
46,-2.038251979838927
47,-3.0145383305503
48,-3.280398894827492
49,-2.7630394731062666
50,-1.5002469614145726
51,-0.4645721379922122
52,-1.701248256231793
53,-0.8422160226164335
54,-0.6319391021815794
55,-0.7055374837622631
56,-1.6203695116228356
57,-1.366479792728326
58,-0.17854282010387523
59,-2.6759494705906333
60,-1.7637698458448088
61,-2.9804035305433043
62,-2.7038370188144016
63,-0.6449073659865417
64,-0.9730839753765094
65,-0.17109362654292992
66,-1.4329268340957935
67,-0.9648748475660354
68,-1.0249927117880513
69,-1.1451359109322712
70,-1.4382074352157814
71,-1.2889793164069157
72,-1.047328514012803
73,-0.7411454506255529
74,-0.7991112737633836
75,-0.38206994574138586
76,-0.9787996850557326
77,-0.37019676466936446
78,0.07693028014927505
79,-0.4457660163684547
80,0.06693430979081838
81,-3.1537603190723944
82,-2.5601349095897357
83,-2.4842818992269615
84,-1.8005061738079626
85,-1.4444069998307556
86,-2.8441656230472985
87,-1.4424128526417084
88,-1.0657601590181454
89,-1.7786390074991816
90,-1.1213441618374242
91,-0.9174056345679569
92,-1.6953531659268668
93,-1.9472563907118967
94,-1.5853254668003858
95,-3.2456758888287722
96,-1.9793544960594238
97,-3.4314551066034804
98,-1.9307096490017852
99,-1.6974342307441603
100,-3.2862174624787364
101,-2.7022355994562828
102,-2.7250543477069
103,-0.8698055623265445
104,-1.5394555546399988
105,-0.9326930056022978
106,0.05696571223380276
107,-1.0770240698112734
108,-2.6754346673088167
109,-2.104507827524019
110,0.008711158602049629
111,-2.467854156134538
112,-0.3303666374532832
113,-3.594915916552051
114,-2.578038908072259
115,0.8111579757675695
116,-1.56669890840233
117,0.6766413518912691
118,-1.2683273899896335
119,-1.2922812476636056
120,0.010032908262108231
121,-2.0162970934012687
122,-2.5992199821804522
123,-1.9013852256518002
124,-1.0683657956304737
125,-2.79962282862495
126,-2.788031725006003
127,-0.541780824210738
128,-1.4278467067413625
129,-3.230587565998217
130,-2.400784255040218
131,-1.0276170443840063
132,-1.827173397190458
133,-2.080406196152555
134,-1.0163380283745997
135,-0.7519206687094327
136,-0.9407650227384612
137,-0.39143761161986423
138,-1.8173733227202706
139,0.3418424991909699
140,-2.020022736896011
141,-2.1568969526950372
142,-1.6157158287006157
143,-1.7983592579710066
144,-0.6159394990781155
145,-0.7966584627557529
146,-0.4250811779736938
147,-0.3458209299373294
148,-2.663698630698139
149,-1.0971618788964337
150,-3.0146038754036057
151,-0.24621606233125537
152,-1.3052722778327548
153,0.08797637802568836
154,-0.8390947123198653
155,-2.0039528677353373
156,-0.8066468560609468
157,0.07085160181727956
158,-1.5250833002533954
159,0.39113998091419444
160,-2.195411578858943
161,-0.8457650646772958
162,-0.2729250594368303
163,-1.04996602628934
164,-2.824411075866694
165,-0.47639157372940744
166,-1.9001993851271752
167,0.006961994997425891
168,-1.2815494299195802
169,-0.5754976750352878
170,-0.05136231828717974
171,1.0694645874511717
172,-2.2400415206366926
173,-2.1724892076898787
174,-0.7742781740285692
175,-1.9009873851735328
176,-0.9874530479268377
177,-2.996352474936656
178,-0.7174404975158615
179,-0.3719530549645657
180,0.5434231095958484
181,-1.9189830476948653
182,-1.1648249589535826
183,-1.8819562806620584
184,-1.7352130406464341
185,-1.7869620229684642
186,0.052052641544079625
187,0.38937077932829944
188,0.6258178547351372
189,0.37904187447503035
190,0.08964591104453662
191,-0.11244482648136772
192,-1.404647339310497
