day,ct
1,-1.2225462366975448
2,-0.9887214461711384
3,0.21058544396161805
4,-1.4073468766871984
5,-1.0523037954302081
6,-0.08937935875060976
7,0.003206746358348389
8,0.23228282962522961
9,-0.05362855724275617
10,-1.412415381370689
11,-1.710461365853578
12,0.546933798994422
13,0.2750097515536596
14,-2.95040484044348
15,-0.4009013998993272
16,-0.023301081218181974
17,-2.2170844443841475
18,-1.918874395807238
19,-1.2861256225480997
20,-0.3331027995237198
21,-2.1878427881215017
22,-0.7639681804647005
23,-1.036229746296055
24,-1.5752556895791772
25,-1.3018635699618433
26,-0.9732779138222759
27,-2.482851961720566
28,-0.9510391580960572
29,-3.090238338125416
30,-0.756687471473798
31,1.1531256758953674
32,-1.5941685102478826
33,-2.0307783110144
34,-1.571152820724522
35,0.04098929735009471
36,-0.31138021403748417
37,0.8358057993356445
38,-0.32911033292981307
39,-2.198249213868341
40,-0.3526418873098588
41,-0.3959006110651695
42,-1.0254466782928906
43,-2.100153560890899
44,0.5013971783522739
45,-3.1529860839507964
46,-0.7519589109078966
47,-0.12312209964475862
48,-2.671345917601543
49,-1.1566975038362977
50,-2.5446515297438577
51,-0.7017518997907586
52,0.5555915118036772
53,-1.6464420766213446
54,-3.172499394128593
55,-2.252680966290127
56,-1.1441743544876017
57,-0.2620860981259827
58,-2.325363980792309
59,-1.0946654013576984
60,-2.677661720452744
61,-0.05270385807617961
62,-2.201417839365949
63,0.8109558444974785
64,-2.5127668478878533
65,-3.0416872817418925
66,-1.2744493021812804
67,-1.7344858309659565
68,-2.689540735052264
69,-0.6211610621999802
70,-0.9485404369872178
71,-0.42484566869707807
72,-0.5198682755486641
73,-1.1233774053165135
74,-1.7367155481770324
75,-2.561759807122675
76,-1.8237749882616878
77,-1.8911901054423577
78,-1.801033249950677
79,-2.750534786649487
80,-2.8933987394764324
81,-1.1546102381781507
82,-1.5470827421915547
83,-1.9193527822114356
84,-0.4250275768514282
85,-1.9624937536420621
86,-2.9486673349471086
87,-3.4084980396919526
88,-2.5956311858702827
89,-0.9081535402848496
90,-1.658180158587266
91,-1.8211452309742153
92,-1.1398782530637854
93,-1.621184994064969
94,-1.6182993377225228
95,0.09871981885802583
96,-3.0252451013505643
97,-3.2934769427433808
98,-1.248221367487598
99,-2.167782918361293
100,-1.4429836190868222
101,-1.7261154471510958
102,-0.5471469815592342
103,-0.749067434720817
104,-1.0766902281694177
105,-3.729384334275223
106,-1.3032873246595
107,-1.877577338307868
108,-1.6430887808507038
109,-2.0906684598238785
110,-2.016859092006097
111,-0.6586121071750174
112,-2.0962238256336354
113,-2.7017269022408517
114,-1.336197552127789
115,-1.2724368692242751
116,-1.7204683893999002
117,-1.1756087754736682
118,-2.3068474828504697
119,-2.6920766154350275
120,-0.6987215632669035
121,-2.380732622914133
122,-1.0960883160247474
123,-1.1810696708451132
124,-2.8649837392459716
125,-0.6200741376355532
126,-1.1006803639923892
127,-0.8233456486596158
128,-1.4867791481545345
129,-1.1246483525620479
130,-1.1202167820887403
131,-2.050070863406246
132,-1.852301555825052
133,-0.9582067190424677
134,-3.7749418106284454
135,-1.3806088669103185
136,-0.8620493884504479
137,-0.9952716025034756
138,-0.6485173343342641
139,-1.4087636273849549
140,-1.5111065324900004
141,-0.8488496956278249
142,-0.1987580950598382
143,-1.1177117080720302
144,-0.03458485182350102
145,-2.727965539065808
146,-1.9608019652465316
147,-0.20166539620478618
148,-2.5445819459623635
149,1.7212847967480664
150,-0.4891091976578079
151,-3.3504546447479124
152,-0.18714235089414355
153,-0.7037794595756137
154,-0.3380542568516376
155,-2.20414213849931
156,-1.234500333102386
157,-1.5196493630063994
158,0.847814079054175
159,-1.7347705418451445
160,-1.515313971145044
161,-0.9195649222616847
162,-1.6373005684458337
163,-0.796438771837609
164,-1.2306719150730705
165,1.2131148427133431
166,-1.0523822229927302
