day,ct
1,-0.07364185214145735
2,0.19278199392505735
3,-1.485152576710398
4,-0.9791744660552548
5,-0.7404763005182858
6,-1.8945215679109029
7,-0.6470099522467773
8,-0.3864567663460678
9,-0.8652781932635061
10,-1.7481864714625535
11,-0.9451334861762319
12,-3.4512902189754144
13,-0.5869643573331645
14,-0.9140096583942413
15,-2.614249426260337
16,-0.7853966388437105
17,-2.475837369685658
18,-1.7011593510100327
19,0.06010668302904798
20,0.032485212360889526
21,-0.9716416975076088
22,-0.543536548054153
23,-1.0943944044716207
24,0.8179304277057875
25,-0.9028405235633652
26,-0.03427026561389701
27,-0.7636301590287874
28,-1.8579156040768732
29,-0.7831637991475289
30,-0.2740122053950277
31,-0.8825797624605095
32,-0.504862364941902
33,-3.4792294614223396
34,0.295520939088896
35,-0.984263690389022
36,-0.4919330621326984
37,-0.5768774794263264
38,-0.4606297483744275
39,-1.894804994515117
40,-0.7672871700157928
41,0.13794342675759674
42,-1.3697515558851912
43,-2.907942383330292
44,-0.2621388446470039
45,-0.8216008365284957
46,0.6871517057409369
47,-1.5724050638880063
48,-1.7543734913413815
49,-0.6716388195916214
50,-2.039005033079732
51,-1.130838327248781
52,-1.8914285842240217
53,-1.3226626145510356
54,-1.2907325312887623
55,-1.5910746595437786
56,-2.5591820095291675
57,-1.4150824455182356
58,-2.07614548294662
59,-1.2780041643328444
60,-1.5646037390664518
61,-1.7453595332357774
62,-3.4034260747438174
63,-0.5027884107497431
64,-1.5630842987343778
65,-0.07925590793984094
66,-1.747225425937532
67,1.4533258936306512
68,-3.7991589146586913
69,-0.8126884052629826
70,-1.3431374074784257
71,-1.6327268661018493
72,-3.0125090930698963
73,-1.9448610116300133
74,-1.2518390265846326
75,-2.1346996157228855
76,0.21468706203577215
77,-0.6778614826393716
78,-0.8734429388168632
79,-3.2891232606270036
80,-1.7321750428362115
81,-2.3450462180927776
82,-1.9330246950760834
83,-1.0809061614501423
84,-2.38942850425878
85,-0.9667646265922685
86,-0.6335608484218276
87,-1.3452319537405513
88,-2.4629573757272043
89,-1.9904960962553953
90,-0.8728785065960457
91,-2.056747634952384
92,-0.8183458310677139
93,-2.413387919298902
94,-2.990972897512897
95,-1.965810893486493
96,-2.1102834154851253
97,-3.6418421436009423
98,-0.8372481082853204
99,-1.4405961482124172
100,-1.740118096076502
101,0.028390661249824145
102,-2.3976262448181496
103,-0.6333562473081539
104,-1.634701755035505
105,-3.3540166814840613
106,-0.1468626696487383
107,-0.07195348651069344
108,-2.9328660902689423
109,0.4653349123777666
110,-2.5838832827713256
111,-1.258667022625576
112,-1.1090600548289427
113,-1.608709490262573
114,-0.21311262258471908
115,-1.7001084721548465
116,-0.2704857077401577
117,-0.4743977856228969
118,-2.7512349575077546
119,0.1996391881662576
120,-1.1780022555359624
121,0.05941718535159812
122,-1.0211739919458562
123,-1.1605012761608229
124,-1.7712522423058705
125,-0.9504005258298724
126,-2.5040037976042977
127,-1.211594138841096
128,-1.6461980676129757
129,-1.0415255016330243
130,-1.1645516025080094
131,-2.573126162637731
132,-1.3781633369321682
133,0.5968576121991269
134,-1.7352305914843615
135,-0.700814209741576
136,-0.6862990961163092
137,-2.0052471363104494
138,-0.5136027050142715
139,-1.7827617186484617
140,-0.1506460268637675
141,-1.8833733507843173
142,-0.5205998003803921
143,-1.8931259153497557
144,-0.06102291639603452
145,-2.226650759495378
146,-1.0584935194823142
147,-2.025329773491823
148,-1.0354843258431947
149,-1.3967267760432236
150,-0.4881886618245481
151,-1.000139511076127
152,1.3135993353826416
153,0.06442146521902381
154,-0.5011686427769085
155,-0.4093377919680883
156,-2.0105791705121807
157,-2.2445409800953233
158,-1.7065843823111975
159,-0.5830327463371058
160,-0.644546718473259
161,-0.7881356437402823
162,-1.006498964913087
163,-1.0780578495319548
164,-1.5943489048122261
165,-2.568537886368713
166,-0.8340048945776348
167,-0.0754117816656047
168,0.044863755881971557
169,-0.3595124906270515
170,-1.8586183468418205
171,-2.225939970047628
172,-1.246297397562985
173,-1.5926271304862951
174,-1.2279663257829951
175,-1.7752182350351375
176,-0.5803901592256628
177,-1.3733531128088732
178,-2.5796349284341376
179,1.1227929970163437
180,-2.0452891277784584
181,-2.854836842576752
182,-2.3038835054227973
183,-2.348852324287842
184,-1.05260617462779
185,-0.3311950667041956
186,-0.10192957451421175
187,-0.08108745518392735
188,-1.4558514116513626
189,0.6861095620586887
190,0.33694477441619836
191,-0.3044690636813694
192,0.6321316815747569
193,0.4568762869785611
194,0.48294373454110084
195,0.6963637819968053
196,-1.966777016189165
197,0.3366821217461633
198,2.5680906057613675
199,1.1514231583100134
200,-0.9031474609182406
201,0.9695907854521915
202,-0.5678738682244066
203,0.5949190874239754
204,-0.3875388348964613
205,0.09398991236411153
206,0.011060207780173248
207,0.16664042058008227
208,0.08581804582150282
209,-0.4606706850692919
210,-0.09765954995366279
211,-0.05108363145918948
212,0.3159157327386021
213,-1.534126595860988
214,-0.020700640883061033
215,0.12321536658612844
216,-0.7754357009192463
217,0.9450295002560697
218,0.1359958740570033
219,1.0689211123434035
220,0.6730446437910378
221,-0.24287304807805182
222,1.9627851370776814
223,-0.8688554309976005
224,-1.9046823893538316
225,-0.7892160696329389
226,-0.0734654914888627
227,0.13935445743392236
228,1.8868020280384121
229,-0.8338809175817689
230,0.9915088433815005
231,0.29111315961216266
232,1.4883952394855628
