day,ct
1,-1.208274356131974
2,-0.4753061059432511
3,0.6629620494089259
4,-1.4079961161981447
5,-0.1611176572972992
6,-0.22933494726849474
7,-0.3943692181457512
8,-1.8871426670304596
9,-1.3200037803515654
10,-1.4883015627701421
11,-0.9321422435449035
12,0.5605070083764444
13,0.02934678773146815
14,0.4459245047765661
15,-2.5344035073793485
16,0.352283926243078
17,-0.8027091163376662
18,-0.37585099544280154
19,-1.2011093143420113
20,0.5475442377571547
21,-0.01799708082209628
22,-1.3840321825971973
23,0.6701354959438399
24,-0.9463010531566418
25,-0.8077781683508046
26,-0.13931726615916706
27,-0.5526865955855501
28,-0.1884700199683489
29,-2.203992536494825
30,-2.395528286102002
31,-1.7427791855953982
32,-1.4436399901845718
33,-3.4793253559928665
34,-1.5225366040975161
35,-0.8820946967812913
36,-0.633041459155293
37,-0.016364085296228792
38,-0.42845531670612025
39,-0.965999712494584
40,-1.7408390682381478
41,-0.6866811470964825
42,-1.4393260604437623
43,-1.2114115070858325
44,-1.7437561637386791
45,-1.427405244049198
46,0.8889965841739147
47,-2.7042975718185156
48,-1.4236979403783987
49,-0.08064493781727267
50,-1.8273562238611922
51,0.3192897900624083
52,-0.5208931285590549
53,-0.26757741577320737
54,-2.7800395314423927
55,-1.4157565392990055
56,-1.6620649244805432
57,-0.7910571102908813
58,-1.5706167630852927
59,-1.413295817814035
60,-1.1572879488106742
61,-0.6918641295592792
62,-0.9102900623415416
63,-3.0071226630706533
64,-2.3865070950209866
65,-1.765141264495453
66,0.6154650593922075
67,0.0031180995743427253
68,-1.8140269948543777
69,-2.4685011076605483
70,-1.8401951100700629
71,-1.195382319656859
72,-1.6533479447992416
73,-0.00429870270172561
74,-1.4260725289981746
75,-1.219124344243313
76,-2.1277387119425706
77,-2.8883971926577265
78,-2.874943942931723
79,-1.7766175077992967
80,-1.1306693538020673
81,-2.4191336288033543
82,-0.9540901407864897
83,-0.030726023277026115
84,-2.2915910988397727
85,-0.17328010570120145
86,-1.4338005618457321
87,-2.273311848797155
88,-1.6017411514943782
89,-1.0391949939161682
90,-2.6120842634502766
91,-0.4799542142287654
92,-0.8918927310628088
93,-1.1712780377748473
94,-1.2911253548224202
95,-0.8208028376517748
96,-0.6980005488220005
97,-0.9484429474894421
98,-0.01498983831673395
99,-1.3829958259096249
100,-0.7783170175024275
101,-1.7908218996551932
102,-0.86481139245291
103,-0.7212492591165292
104,1.0143627174446632
105,-1.2095155274190836
106,-2.3012491063149048
107,-0.5205113642016865
108,-1.8754055607488205
109,-1.2026507242108087
110,-0.7660020561215064
111,-2.2445505939487815
112,-1.5139083971793563
113,-2.6824866918155044
114,-1.4441410667592902
115,-1.7880090958050558
116,-1.8343512679674294
117,-0.8997202925570676
118,-2.072700821032203
119,-2.5959329143439467
120,-1.913998902991373
121,-0.5976707921271084
122,0.2749360129232432
123,-0.8544332278409822
124,-0.6389406189847863
125,-1.7397529220528145
126,-1.1998752375077701
127,-1.2870786176228435
128,-1.7888086954785105
129,-0.47443672153087935
130,-2.016940032019744
131,1.0443941442181475
132,-1.6450261777471271
133,-0.7254770727071107
134,-0.3375833951137355
135,-0.6408903216271633
136,-2.423275923294728
137,-1.6610847828346584
138,-1.712171629111673
139,-0.6320296077731267
140,-0.8348210727584486
141,-0.028075887091269625
142,-1.05685745537605
143,-1.757483194378057
144,-1.111370409924163
145,-1.5563968943667006
146,-1.0940964852124397
147,-0.08575616750751158
148,-2.6563775016937474
149,-1.613091638045364
150,-1.8124752258775363
151,-0.5977210908488106
152,-0.6195873266729441
153,0.8634988832903254
154,-0.8122283074224024
155,-1.140744747966409
156,-1.836061660913242
157,0.13486724186972832
158,-0.12763871488632506
159,-1.3219326093480923
160,0.46523540250117246
161,-0.7340487600247042
162,-0.7504957968718681
163,-2.6715993267940212
164,-0.21141314872236128
165,-2.099256122736742
166,-0.9459604567731544
167,0.40922908026953253
168,0.2026224751401846
169,-0.21621334282212978
170,0.0985368652970543
171,0.09541033159929224
172,-1.4557460292048385
173,-0.03317726730715165
174,-0.11457972727540111
175,0.19293819419495228
176,-1.1141193976076573
177,-1.0950216664655363
178,1.7602512936920767
179,-1.8963011651090844
180,-0.9526148259806733
181,-1.199246782148537
182,-0.7382281155974518
183,-1.7242490512524358
184,-0.7798669314765366
185,-0.3134331667661049
186,0.5136313746068544
187,0.3164557148886281
188,0.5690291488383759
189,-1.171664759246694
190,-1.045320039027536
191,-1.6439775819144176
192,-0.5154129230190594
193,-1.4070036176771796
194,0.4559456046956559
195,-0.0202096828734995
196,0.16768675142475875
197,0.8482382983331492
198,0.26089496164929193
199,0.0793434958873826
200,-0.198783329342159
201,-2.1231336430785577
202,1.5517764717937252
203,-2.3118300591841816
204,-0.12770298186953677
205,0.5474168042699141
206,-0.5772824034827138
207,1.2285092766062324
208,-0.31847848838338455
209,-0.9132633336984364
210,-0.24362015468493634
211,-0.31525686710597645
212,0.22773014472933462
213,-1.7036762204273426
214,-0.6218974598631618
215,-0.5831611245493104
216,1.9928069506355715
217,1.005900427376566
218,0.886016865729242
219,1.9595485251587192
220,-1.0670476713951673
221,-0.639689993875775
222,-0.8025151842554679
223,1.3537711631564262
224,-1.5477116146579804
225,-1.6696921675920358
226,3.019963551571725
227,-0.9407366778449652
228,0.8525488476563516
229,0.7356833255189573
230,0.979456957502214
231,0.1526700135359721
232,-0.7008010182455215
233,1.252104786072712
234,-0.8714637868797755
235,-0.9107797047483548
236,0.6819717817691561
237,-0.5437408013294955
238,0.30895337618607693
239,0.6678767641055428
240,-1.08495528634331
241,-1.1532574656055679
242,0.8098248484109969
243,-0.8273076667522187
244,0.21561642154932428
245,-0.22431456322244314
246,0.26721613160578245
