day,ct
1,0.03940754802809465
2,-0.743329986622085
3,-0.6392021329380441
4,-0.2916403734308075
5,-0.186714240435774
6,-2.350831167902391
7,0.9591343789964404
8,0.7411192048318593
9,1.3278511508155155
10,-0.7918755282774192
11,-1.5392184553173553
12,-1.984159355482908
13,-0.9805920167774727
14,-1.8110457197539522
15,-0.9588344564744048
16,-0.22381736518387363
17,-1.6583590019730952
18,-0.24446427544048666
19,-2.293987468262333
20,-2.1519901180012995
21,0.2836961757911396
22,-0.9329928907411791
23,-0.8283767165906623
24,-0.451781718152234
25,-1.5981152265300147
26,-2.5821659731894577
27,-1.5469975375573122
28,0.34740081850863813
29,1.1185992706696708
30,-2.7127821493766433
31,1.0773635480783534
32,-1.1658632711323371
33,-0.8139866766072159
34,-1.203700836789744
35,-1.598431445924262
36,-1.848953604782392
37,-1.649729602772775
38,-1.0898304542792254
39,-2.3646289997638896
40,-0.640429137925724
41,-1.3057458246020408
42,-0.7766192427962202
43,-2.6826301898596694
44,0.10383857898871329
45,-4.008755578178973
46,0.30113971988478294
47,0.009585509272703296
48,-0.862191769268688
49,-2.563679197905567
50,-0.039812502331705524
51,-1.563219449947341
52,-1.590001034616206
53,-2.208821238637221
54,-1.330152847364005
55,-0.31402655513758027
56,-1.4344835896853279
57,-1.6144954182609395
58,-2.526030745066705
59,-1.2550204090368715
60,-0.3117342873294344
61,-2.0597816739131485
62,-2.586656692339152
63,-2.7396998586459302
64,-1.3614524728198514
65,-2.193402790997532
66,-4.22794228739245
67,-1.0585808249189683
68,-1.8240749523825606
69,-2.4416968079291967
70,-1.3963447729645422
71,-1.8773619796131868
72,-1.6333411718172999
73,-1.0758260505216657
74,-2.1019976512073892
75,-1.5023260152932323
76,-1.10994028633269
77,-1.0461388937869884
78,-1.9852790324109135
79,-0.6911434348292532
80,-2.227421023865759
81,-2.1569792989552106
82,-3.1881789285317086
83,-1.2002275728073406
84,-1.286826356557206
85,-1.7806765688707753
86,-0.5188285472751584
87,-2.167759245562801
88,-0.5803204988813906
89,0.37363808971234924
90,-1.6390710250664016
91,-2.0464570842951453
92,-2.0853680348446506
93,-2.5643482853805657
94,-2.696624354306825
95,-0.774340838258279
96,-1.5608846183602307
97,-1.059439658181385
98,-0.8922944720184295
99,-3.7962727142677126
100,-1.6422124074729387
101,-2.1310053438643424
102,-1.0044730023415251
103,-1.715867764968241
104,0.10134535189723426
105,-1.2081659471474286
106,-1.071007021020213
107,-2.1412118680544268
108,-2.7629323548572717
109,-2.152897230440201
110,-3.029516519386672
111,-0.41790615820523147
112,-2.381480300116122
113,-3.2271078442288883
114,-2.2727213772598103
115,-1.84649775317324
116,-2.0864012329846062
117,-1.8097539248965724
118,-1.4921659116541597
119,-0.5743928311538706
120,-2.0504485671274333
121,-2.867390138450213
122,0.8999703552231268
123,-0.38050382596789234
124,-3.6361187625863542
125,-1.9835216192908645
126,-2.03672061434193
127,-1.651627199317933
128,-1.1759362623933127
129,-2.2225032547554275
130,-0.8365032860053156
131,-0.9544154666994478
132,-2.491303193336858
