day,xt
1,0.45029848875177336
2,0.0
3,0.0
4,0.20083772858195925
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.8155316390253873
18,1.2676309067984126
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.20350022158219927
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.46306285840133943
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.6030251643932312
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.14705137702285853
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.027262697537404845
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.042564336902636946
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,1.8765580172824996
156,0.7942516026229787
157,0.0
158,0.0
159,0.739620403877054
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.7948808312519322
166,1.1047733694441035
167,0.0
168,0.9479679501857237
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.3459875515799903
180,1.1968476503914216
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.3340280498307374
195,0.0
196,0.0
197,0.49527845829977524
198,1.9724189717536578
199,0.8152957215993792
200,1.292533615455962
201,2.0284683588921717
202,2.458434789225227
203,1.3947084612291847
204,2.480326778479083
205,3.5321742394803732
206,3.2112582230038274
207,2.687448250964829
208,3.308877473970658
209,2.570174566349378
210,4.75912218471383
211,5.840105449173764
212,6.370392428478869
213,6.081140962915147
214,3.2135937625960307
215,3.283077182087
216,3.3492529258424204
217,3.4572109532430457
218,3.653301343419019
219,5.304163871936218
220,4.944798507716501
221,4.795455190285805
222,3.5911487395257886
223,5.853911083919936
224,5.962889187982677
225,5.920914403032423
226,5.476706002961432
227,5.4988065480229436
228,6.790977060681783
229,6.038742224345677
230,6.332928757801049
231,7.3065010187716934
232,7.76242646493304
233,8.675080682895175
234,7.813072874742118
235,7.670640353514354
236,8.627134909388651
237,9.915816956846143
238,10.519916682532855
239,8.811994223140497
240,7.833802804171494
241,6.47814580184725
242,4.316985444510396
243,6.33741295860406
244,8.09598893987074
245,8.81642294077751
246,7.059093420503785
247,7.803326336703875
248,10.502639772487715
249,10.564702949544202
250,11.0726187464841
251,11.568765878358962
252,11.454553228861142
253,11.88983235947696
254,12.42802656851833
255,13.310027684289174
256,12.437608825105182
257,12.311383241888063
258,10.566307374144822
259,10.721353532827463
260,12.150631297984583
261,11.198881934301141
262,11.688633159112051
263,12.557101363443097
264,14.47911441914872
265,13.99915361981484
266,13.47143691993183
267,13.540870619447409
268,11.924545270759753
269,13.610829007457554
270,12.25177706268701
271,12.35987711435245
272,12.101323972866991
273,14.061325755506024
274,14.678344849472374
275,16.566239823828077
276,16.330432125960666
277,18.057304477421912
278,19.20251384360167
279,18.92729247046529
280,19.290990647334855
281,19.037049568477773
282,20.94740656022025
283,22.01644654887862
284,22.742101875883353
285,23.361803363057078
286,22.71871101043974
287,23.208793047156096
288,23.401763876912447
289,23.204366671867685
290,24.390461462899758
291,25.633522492492403
292,24.445817591362186
293,23.410273227969153
294,23.968967157416042
295,24.176184940395384
296,25.175795870896756
297,26.305019619682763
298,27.862439563615656
299,30.71391679216099
300,31.987773077767198
301,34.0091705190362
302,34.28391181104858
303,34.90083486224812
304,36.0553343971205
305,36.84454522345382
306,36.34751834370756
307,35.16090459811596
308,35.41166486539642
309,35.7657422103019
310,35.15667646636518
311,34.701567041631044
312,33.45733446470817
313,35.123341708009875
314,34.085805167233076
315,34.989839049890726
316,34.37548552189476
317,32.611774158949444
318,31.15032836361429
319,30.169701782237887
320,29.923797383294353
321,30.70131266388828
322,30.2123277844243
323,28.46246518350515
324,27.722075633297056
325,28.46305846687612
326,30.377807092720268
327,30.6399336624391
328,29.8771263439565
329,29.01428984635782
330,31.014125916307602
331,28.762236654410348
332,28.149749835433518
333,29.764366252168628
334,29.947675638316046
335,31.318251522829463
336,28.510771311407538
337,28.161473526797852
338,26.9086430100727
339,25.841099858257305
340,26.529107807173926
341,24.904246152250224
342,26.92784409252632
343,26.344348385834536
344,25.512761201208136
345,24.694117253671546
346,24.247042316799057
347,23.992622760827366
348,22.52963994512005
349,22.231652104873778
350,22.885643132144587
351,23.00964171226865
352,21.960797790392096
353,22.381050207462046
354,22.97194623386075
355,23.046765023680816
356,22.542649139384483
357,22.97715922578892
358,21.98726360491227
359,21.88778804447798
360,21.350727568021632
361,21.015173235019738
362,21.483807894913166
363,20.2907232183978
364,18.86654728434681
365,17.96128499921046
366,17.494242666941282
367,17.252188518725458
368,16.49653388838359
369,15.440195435648256
370,15.451162187593493
371,14.66432544458106
372,14.402955085035961
373,10.943619244456396
374,11.379033952969863
375,10.099951413779145
376,7.897637465552284
377,6.933127085477353
378,7.127804292140073
379,6.358996409697663
380,5.037818339826572
381,4.028137010248159
382,1.9959156876095463
383,0.5733603262593578
384,0.0
385,0.0
386,0.38246231109016104
387,0.7710753505109361
388,0.14840698760554727
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0641893632929098
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.8906973435370307
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
