day,ct
1,-1.6035683764073099
2,-0.8514327149912366
3,0.1892070842708622
4,-0.22063710407013148
5,-0.10959992858461742
6,-0.8322157491808835
7,-0.926990190763842
8,-0.8717668327548462
9,-1.1215819417666002
10,0.28498198147796294
11,0.23993622837502038
12,-1.482562855537359
13,-0.4101225386221387
14,-0.7990468180675039
15,-1.0035331031207735
16,-2.2909578070629815
17,-1.8557748981743585
18,-1.0661214824406189
19,-0.260062107946884
20,-1.8532994452154208
21,-0.5071290003863984
22,0.6578629810132729
23,0.6544565116345893
24,-2.2073868044956138
25,-1.4891447020451705
26,1.1789195457791328
27,0.5167159461470068
28,-0.6510236747559759
29,-2.7652352021234377
30,-0.4050160652522301
31,-2.4570120753301863
32,-0.17766522471983648
33,-1.4504548744766343
34,-2.42233185449016
35,-0.3861930954498888
36,-0.4307711588954889
37,-0.41882152315445964
38,-0.8782297402054634
39,-1.4359306877900855
40,-0.8660443474082893
41,-0.5724951336023201
42,-1.764703798846619
43,-1.297307937947372
44,-1.2731844939809778
45,0.46674930934175674
46,-0.24412425470387378
47,-1.5682924722889644
48,-2.856195277759519
49,-1.0310697663332706
50,-1.7382354576040902
51,0.1445914090590361
52,-1.9344593634994287
53,-3.0694731836966453
54,-2.048811922092657
55,-2.002915843626025
56,-1.5654596012559885
57,-0.4627674561786783
58,-2.4872139222892544
59,-0.056779063580947975
60,-1.0671115239462685
61,-0.8695384525524765
62,-3.585690853399102
63,-1.17896496028185
64,-2.4862880481585328
65,-1.3027006899838334
66,-0.13624419396149223
67,-3.444689410705716
68,-0.1691320425412599
69,-0.5819517189100822
70,-1.447173301699671
71,-1.9949521039549838
72,-1.7456100839644197
73,-1.5801329301906535
74,-2.8895931516765683
75,-1.0991436499680203
76,-1.365352256901234
77,-2.008559946413422
78,-1.6724183665714012
79,-1.385659843620314
80,-0.7262712210145061
81,-2.0901495656472115
82,-1.449110669783344
83,-1.1699361601556346
84,-1.651408934250231
85,-2.715014675063548
86,-3.397851091939787
87,-0.4907245493021999
88,-1.5201728354607962
89,-1.8022788132451721
90,-2.636862781312213
91,-1.327000586575895
92,-2.3689976528920815
93,0.3217983049357893
94,-3.4478672160559394
95,-2.6386886555845943
96,-1.3771632468317105
97,-1.113439640272989
98,-1.0857152391165443
99,-2.9830479473680187
100,-0.6939470598657607
101,-0.4062882092391271
102,-1.4193971449451932
103,-1.400346979920051
104,-1.2723067145984488
105,-0.4574127687506506
106,-1.805524744262593
107,-1.888926459926249
108,-2.768743378891013
109,-1.8742544667186993
110,-1.2782838626130166
111,-0.812091721442854
112,-1.9369221557836378
113,-4.025768376772675
114,-0.42912887617566087
115,-0.784757715235282
116,-1.8927086416639463
117,-1.4055998478786254
118,-2.3359252487673
119,0.06642275305778211
120,-3.778082664056387
121,-2.2338495924371005
122,-1.1919794808190511
123,-2.019872235667631
124,-2.259473716587808
125,-2.0278110568434426
126,-1.0084129950258065
127,-1.6132484867111603
128,-1.5124705721439171
129,-0.6387519228635812
130,-1.612513662013043
131,-1.158322746200198
132,-0.7673780039582772
133,-3.067969625333138
134,-0.8030589000818021
135,-2.3891036104179983
136,0.1806958019385192
137,-1.1478288891093733
138,-2.375221421652703
139,-0.4889034217084839
140,-0.8045085660399562
141,-1.1542809937838887
142,-1.7175658525761264
143,-2.6120252864966695
144,-2.360228582306488
145,-1.0747316758383607
146,-0.5658137393872237
147,-0.45078406376196756
148,-0.6804463098740543
149,-0.857427562821012
150,-1.4759600334237957
151,-0.8320865155809919
152,-0.2599012988721754
153,-1.5025860223893999
154,-0.5540793918366548
155,-1.6010226496367592
156,-1.7577242862074836
