parameter,true_value,estimated_value,lower_ci,upper_ci,std_error
b0,-0.04,-0.025126182108426452,-0.10267530579345543,0.05242294157660254,0.0395666064768162
b1,-0.02,-0.021980660787816752,-0.02711416451800816,-0.016847157057625343,0.0026191826843165638
sigma,1.0,0.9978611012156812,0.9423492306331646,1.0533729717981977,0.02832290339025979
