day,temperature,snow_depth,daily_change
0,23.93168282517931,0.0,-0.3914758125138779
1,24.55662513058207,0.8707583798733568,0.8707583798733568
2,23.620229460943175,0.6731687773892341,-0.19758960248412277
3,24.09282105771995,0.0,-1.3803055855008728
4,27.751263969919076,0.0,-0.861159716165429
5,22.51311507286712,0.0,-1.1391630110643574
6,33.66996284602332,0.8528683120176834,0.8528683120176834
7,27.576076763532807,0.0,-2.682891725882042
8,24.747524309618463,0.9213775775443183,0.9213775775443183
9,23.89011292233095,1.3488687344963024,0.42749115695198425
10,24.30884297183147,0.42249068120765787,-0.9263780532886445
11,20.92605331956239,0.27919691885423864,-0.14329376235341923
12,24.13302048811186,0.0,-1.6327212438331418
13,25.549335104567223,0.0,-1.1358082273484746
14,26.667782734398468,0.0,-0.7617652187555087
15,26.57766066566031,0.2414704357374412,0.2414704357374412
16,23.06297358083705,0.0,-0.6625641880317407
17,18.396062504520227,1.1929503006078506,1.1929503006078506
18,21.276244556587724,1.7117679845847578,0.5188176839769073
19,30.288078521506492,0.2305590413109475,-1.4812089432738103
20,27.304612239902756,0.0,-0.7727415847222628
21,25.074386573280183,0.0,-1.399554805063632
22,20.420753997769257,0.0,-1.2081932389860401
23,23.34506638524086,0.0,-2.0189555672391672
24,18.16693800414013,1.3444359840442348,1.3444359840442348
25,20.835606179853382,3.017778837378243,1.6733428533340082
26,21.91093856364436,2.6107142895793265,-0.4070645477989163
27,21.288292703221902,0.3033061937492798,-2.3074080958300467
28,26.39910941824181,0.0,-0.9205728859436819
29,16.73044413079041,0.0,-0.7835126774315946
30,18.771111231719267,0.14388794629481988,0.14388794629481988
31,16.55647853793731,0.24677147289900137,0.10288352660418149
32,16.92315789634424,0.0,-2.081096526350994
33,22.181139022557993,0.0,-1.7919093272417184
34,15.090557982925995,0.08302057824176168,0.08302057824176168
35,24.310316985514905,0.0,-0.5195376562574527
36,20.105276128892125,0.0,-0.9127887995651256
37,21.16062550914686,0.017309651649279167,0.017309651649279167
38,21.96400902553007,0.6042157738890079,0.5869061222397288
39,18.72062560897692,1.3461216748984288,0.7419059010094209
40,24.366224036229006,0.816387442501187,-0.5297342323972418
41,19.23343711718083,0.4609635454903176,-0.3554238970108694
42,22.157148101018414,0.8248446510438423,0.36388110555352476
43,18.750100964342305,1.0715269837491244,0.24668233270528195
44,20.47142527055891,0.0,-1.1576622656831481
45,20.183720164014986,0.0,-0.9422798387419068
46,19.81792752268156,0.1685171748161069,0.1685171748161069
47,14.6697043824501,0.13566621896165054,-0.032850955854456354
48,20.055311041475495,0.0,-0.6923348895472923
49,16.776911961175866,0.1805718413023058,0.1805718413023058
50,20.311760562990216,0.2889425520458595,0.1083707107435537
51,8.913117682055711,0.17031022577900634,-0.11863232626685317
52,11.392203137154684,0.0,-1.0555164717376857
53,18.43240053665844,0.22236132901294925,0.22236132901294925
54,24.15273381298828,0.9837971048671491,0.7614357758541999
55,19.76020084108069,0.3463697467443624,-0.6374273581227867
56,13.405724996340972,0.0,-1.8729275504466096
57,9.079586751607804,1.6115712101881112,1.6115712101881112
58,18.527599057493916,1.0689731393652842,-0.5425980708228271
59,14.94045535439667,1.668958191195305,0.5999850518300209
60,17.328502649721155,3.114037940150626,1.4450797489553209
61,15.126829724067534,3.6546328562329364,0.5405949160823107
62,14.481296043642024,2.837968587761261,-0.8166642684716756
63,25.89154586221879,3.191428157604284,0.35345956984302285
64,13.724164794938964,1.7279641351598158,-1.4634640224444682
65,12.800756578908736,0.9825819807129561,-0.7453821544468597
66,12.638499865583858,0.2778726000832966,-0.7047093806296595
67,10.474302123785131,0.4615370716852617,0.18366447160196506
