parameter,true_value,estimated_value,lower_ci,upper_ci,std_error
b0,-0.04,-0.0407010899388712,-0.11906411118567013,0.037661931307927735,0.03998186796538939
b1,-0.02,-0.0198216559388379,-0.024992002011325933,-0.014651309866349868,0.002637980143140926
sigma,1.0,1.0049138411083374,0.9480361191024559,1.0617915631142187,0.02901977916662024
