parameter,true_value,estimated_value,lower_ci,upper_ci,std_error
b0,-0.04,-0.04643271111585555,-0.1255652732506755,0.03269985101896443,0.04037449808211147
b1,-0.02,-0.018538861783379705,-0.02376918235665626,-0.01330854121010315,0.002668579940515569
sigma,1.0,1.015841813510065,0.958890131275829,1.072793495744301,0.029057514670403982
